perm_sms,perm_location,perm_camera,perm_microphone,perm_contacts,perm_storage,perm_admin,perm_boot,perm_system_alert,perm_install_packages,total_permissions,dangerous_perm_count,network_connections_count,background_exec_frequency,suspicious_api_calls_count,data_exfil_volume_kb,min_sdk_version,target_sdk_version,apk_entropy,hash_reputation_score,is_malicious
0,1,1,0,1,1,1,1,1,1,12,13,47,9.605231472122668,22,13544.698195837695,16,30,7.418985453055829,19.9459375564018,1
0,0,1,0,0,1,0,0,0,0,13,3,5,0.3952233947870907,1,52.36533474023084,23,33,5.756419607065404,84.51317681175509,0
0,0,0,0,1,0,0,0,0,0,3,3,3,0.11649872239685888,0,239.51163872168723,26,33,5.260840064064071,81.17452450916623,0
0,1,1,0,0,1,0,0,0,0,10,2,7,1.28380788677409,0,443.5292144724473,23,33,5.446591526385959,97.37351595043903,0
0,1,1,0,0,1,0,0,0,0,12,3,0,2.586090080633997,1,432.27732807220247,21,34,6.407730204782215,88.26026090564979,0
1,1,1,1,1,1,0,1,0,1,37,17,53,9.2584881482223,18,1326.7971283250542,16,30,7.032065803951392,10.154089901899898,1
0,1,1,0,0,0,0,1,0,0,4,3,3,2.0832421342807526,2,288.1116202564611,28,31,5.0902268255308325,82.37607973093716,0
1,0,1,1,1,1,0,1,0,0,34,7,31,7.59832524361174,13,12585.908961155053,19,28,7.99,3.344998211102821,1
0,1,1,0,1,1,0,1,1,0,30,6,17,5.35873281548928,12,16351.497460876624,21,30,6.987585903225663,34.377304873305675,1
0,1,0,0,0,1,0,1,0,0,13,3,6,1.8737934028985679,0,38.139546779383735,28,33,5.242150768566883,89.06991810115306,0
0,0,0,0,0,0,0,0,0,0,8,0,4,2.8759190944918025,0,273.17037650099843,26,34,5.585154086634157,87.75843082910265,0
0,1,0,1,0,1,1,0,1,1,29,14,27,6.148213564515019,7,17219.105114668044,19,26,7.823762841567209,37.188044652499485,1
1,1,0,1,0,1,0,1,1,1,28,10,17,7.448079470283876,23,2794.515390415102,19,28,7.547312479601684,22.5817782558614,1
1,1,0,0,1,1,0,1,0,0,44,7,51,9.244021477260173,4,16964.333529516545,23,28,7.156654798996464,15.483504201026182,1
0,1,1,0,0,1,0,0,0,0,9,2,0,0.9810210533697484,2,152.38845099146582,28,32,5.406362180698617,85.38665345826023,0
1,0,0,1,1,0,0,1,0,1,13,6,26,8.17255529862741,17,5830.335366820026,19,28,6.976704929532074,37.857879945191165,1
0,1,0,0,0,0,0,0,0,0,9,1,4,2.8063420472361753,1,440.7121782927277,26,31,5.456195868459967,99.9807807191544,0
1,1,1,1,1,1,1,1,1,1,25,15,28,9.453376180206615,9,9329.858042230859,21,28,7.480628660446979,13.129611753778203,1
